video_id,frames,fps
P01_01,99135,59.9400599400599
P01_03,7137,59.9400599400599
P01_05,76325,59.9400599400599
P01_09,214270,59.9400599400599
P01_103,8905,50.0
P01_104,12286,50.0
P01_14,81161,59.9400599400599
P02_01,13985,59.9400599400599
P02_03,75137,59.9400599400599
P02_07,6521,59.9400599400599
P02_101,12190,50.0
P02_102,11358,50.0
P02_107,6077,50.0
P02_109,45633,50.0
P02_121,19660,50.0
P02_122,38369,50.0
P02_124,11596,50.0
P02_128,6766,50.0
P02_130,54177,50.0
P02_132,11358,50.0
P02_135,13063,50.0
P03_03,4265,59.9400599400599
P03_04,100251,59.9400599400599
P03_05,13465,59.9400599400599
P03_101,42652,50.0
P03_11,3164,59.9400599400599
P03_112,25402,50.0
P03_113,7420,50.0
P03_123,15961,50.0
P03_13,3364,59.9400599400599
P03_17,8937,59.9400599400599
P03_23,30585,59.9400599400599
P03_24,49313,59.9400599400599
P04_02,86263,59.9400599400599
P04_03,48115,59.9400599400599
P04_04,51494,59.9400599400599
P04_05,124128,59.9400599400599
P04_101,27478,50.0
P04_109,49031,50.0
P04_11,14487,59.9400599400599
P04_110,36122,50.0
P04_114,8006,50.0
P04_121,84665,50.0
P04_21,11835,59.9400599400599
P04_25,22897,59.9400599400599
P04_26,2219,59.9400599400599
P04_33,11052,59.9400599400599
P05_01,21952,59.9400599400599
P05_08,76842,59.9400599400599
P06_01,5432,59.9400599400599
P06_07,63722,59.9400599400599
P06_09,80693,59.9400599400599
P06_101,92959,50.0
P06_102,36665,50.0
P06_103,41986,50.0
P06_107,14568,50.0
P06_11,4624,59.9400599400599
P06_110,3820,50.0
P06_12,11643,59.9400599400599
P06_13,14428,59.9400599400599
P06_14,6049,59.9400599400599
P07_08,10388,59.9400599400599
P08_09,37235,59.9400599400599
P08_16,35353,59.9400599400599
P08_21,84412,59.9400599400599
P10_04,201604,29.97002997002997
P11_101,9208,50.0
P11_102,17180,50.0
P11_103,11347,50.0
P11_105,16687,50.0
P11_16,21238,59.9400599400599
P12_02,111248,59.9400599400599
P12_03,87963,59.9400599400599
P12_101,102297,50.0
P14_05,4275,59.9400599400599
P15_02,41718,59.9400599400599
P17_01,9382,47.95204795204796
P18_03,25652,59.9400599400599
P18_06,24986,59.9400599400599
P18_07,14410,59.9400599400599
P20_03,12790,59.9400599400599
P22_01,65484,59.9400599400599
P22_07,130843,59.9400599400599
P22_117,48595,50.0
P23_02,100100,59.9400599400599
P23_05,70140,59.9400599400599
P24_05,96060,59.9400599400599
P24_08,90779,59.9400599400599
P25_107,110652,50.0
P26_110,13241,50.0
P27_101,68014,50.0
P28_06,44647,59.9400599400599
P28_101,35889,50.0
P28_103,91262,50.0
P28_109,10806,50.0
P28_110,6787,50.0
P28_112,17882,50.0
P28_113,26895,50.0
P28_13,8999,59.9400599400599
P28_14,16740,59.9400599400599
P30_05,195726,59.9400599400599
P30_101,31436,50.0
P30_107,149712,50.0
P30_111,92017,50.0
P30_112,4049,50.0
P32_01,29698,59.9400599400599
P35_105,107417,50.0
P35_109,56478,50.0
P37_101,84077,50.0
P37_103,19760,50.0
